requirement_id,requirement_name,coverage_threshold,original_constr_name,description
R001119,Customer_Requirement_1119,6,c1119,Customer requirement 1119
R001120,Customer_Requirement_1120,6,c1120,Customer requirement 1120
R001121,Customer_Requirement_1121,8,c1121,Customer requirement 1121
R001122,Customer_Requirement_1122,21,c1122,Customer requirement 1122
R001123,Customer_Requirement_1123,15,c1123,Customer requirement 1123
R001124,Customer_Requirement_1124,14,c1124,Customer requirement 1124
R001125,Customer_Requirement_1125,-2,c1125,Customer requirement 1125
R001126,Customer_Requirement_1126,18,c1126,Customer requirement 1126
R001127,Customer_Requirement_1127,-7,c1127,Customer requirement 1127
R001128,Customer_Requirement_1128,13,c1128,Customer requirement 1128
R001129,Customer_Requirement_1129,12,c1129,Customer requirement 1129
R001130,Customer_Requirement_1130,11,c1130,Customer requirement 1130
R001131,Customer_Requirement_1131,10,c1131,Customer requirement 1131
R001132,Customer_Requirement_1132,4,c1132,Customer requirement 1132
R001133,Customer_Requirement_1133,6,c1133,Customer requirement 1133
R001134,Customer_Requirement_1134,20,c1134,Customer requirement 1134
R001135,Customer_Requirement_1135,16,c1135,Customer requirement 1135
R001136,Customer_Requirement_1136,-6,c1136,Customer requirement 1136
R001137,Customer_Requirement_1137,16,c1137,Customer requirement 1137
R001138,Customer_Requirement_1138,17,c1138,Customer requirement 1138
R001139,Customer_Requirement_1139,0,c1139,Customer requirement 1139
R001140,Customer_Requirement_1140,3,c1140,Customer requirement 1140
R001141,Customer_Requirement_1141,6,c1141,Customer requirement 1141
R001142,Customer_Requirement_1142,17,c1142,Customer requirement 1142
R001143,Customer_Requirement_1143,14,c1143,Customer requirement 1143
R001144,Customer_Requirement_1144,-4,c1144,Customer requirement 1144
R001145,Customer_Requirement_1145,16,c1145,Customer requirement 1145
R001146,Customer_Requirement_1146,-7,c1146,Customer requirement 1146
R001147,Customer_Requirement_1147,10,c1147,Customer requirement 1147
R001148,Customer_Requirement_1148,6,c1148,Customer requirement 1148
R001149,Customer_Requirement_1149,-1,c1149,Customer requirement 1149
R001150,Customer_Requirement_1150,4,c1150,Customer requirement 1150
R001151,Customer_Requirement_1151,9,c1151,Customer requirement 1151
R001152,Customer_Requirement_1152,10,c1152,Customer requirement 1152
R001153,Customer_Requirement_1153,11,c1153,Customer requirement 1153
R001154,Customer_Requirement_1154,8,c1154,Customer requirement 1154
R001155,Customer_Requirement_1155,24,c1155,Customer requirement 1155
R001156,Customer_Requirement_1156,15,c1156,Customer requirement 1156
R001157,Customer_Requirement_1157,13,c1157,Customer requirement 1157
R001158,Customer_Requirement_1158,-4,c1158,Customer requirement 1158
R001159,Customer_Requirement_1159,7,c1159,Customer requirement 1159
R001160,Customer_Requirement_1160,14,c1160,Customer requirement 1160
R001161,Customer_Requirement_1161,-2,c1161,Customer requirement 1161
R001162,Customer_Requirement_1162,14,c1162,Customer requirement 1162
R001163,Customer_Requirement_1163,-7,c1163,Customer requirement 1163
R001164,Customer_Requirement_1164,7,c1164,Customer requirement 1164
R001165,Customer_Requirement_1165,5,c1165,Customer requirement 1165
R001166,Customer_Requirement_1166,11,c1166,Customer requirement 1166
R001167,Customer_Requirement_1167,6,c1167,Customer requirement 1167
R001168,Customer_Requirement_1168,10,c1168,Customer requirement 1168
R001169,Customer_Requirement_1169,23,c1169,Customer requirement 1169
R001170,Customer_Requirement_1170,10,c1170,Customer requirement 1170
R001171,Customer_Requirement_1171,16,c1171,Customer requirement 1171
R001172,Customer_Requirement_1172,11,c1172,Customer requirement 1172
R001173,Customer_Requirement_1173,20,c1173,Customer requirement 1173
R001174,Customer_Requirement_1174,14,c1174,Customer requirement 1174
R001175,Customer_Requirement_1175,6,c1175,Customer requirement 1175
R001176,Customer_Requirement_1176,13,c1176,Customer requirement 1176
R001177,Customer_Requirement_1177,4,c1177,Customer requirement 1177
R001178,Customer_Requirement_1178,9,c1178,Customer requirement 1178
R001179,Customer_Requirement_1179,-6,c1179,Customer requirement 1179
R001180,Customer_Requirement_1180,18,c1180,Customer requirement 1180
R001181,Customer_Requirement_1181,12,c1181,Customer requirement 1181
R001182,Customer_Requirement_1182,16,c1182,Customer requirement 1182
R001183,Customer_Requirement_1183,-4,c1183,Customer requirement 1183
R001184,Customer_Requirement_1184,9,c1184,Customer requirement 1184
R001185,Customer_Requirement_1185,-1,c1185,Customer requirement 1185
R001186,Customer_Requirement_1186,-3,c1186,Customer requirement 1186
R001187,Customer_Requirement_1187,21,c1187,Customer requirement 1187
R001188,Customer_Requirement_1188,11,c1188,Customer requirement 1188
R001189,Customer_Requirement_1189,-3,c1189,Customer requirement 1189
R001190,Customer_Requirement_1190,1,c1190,Customer requirement 1190
R001191,Customer_Requirement_1191,22,c1191,Customer requirement 1191
R001192,Customer_Requirement_1192,6,c1192,Customer requirement 1192
R001193,Customer_Requirement_1193,23,c1193,Customer requirement 1193
R001194,Customer_Requirement_1194,-3,c1194,Customer requirement 1194
R001195,Customer_Requirement_1195,20,c1195,Customer requirement 1195
R001196,Customer_Requirement_1196,9,c1196,Customer requirement 1196
R001197,Customer_Requirement_1197,15,c1197,Customer requirement 1197
R001198,Customer_Requirement_1198,4,c1198,Customer requirement 1198
R001199,Customer_Requirement_1199,8,c1199,Customer requirement 1199
R001200,Customer_Requirement_1200,6,c1200,Customer requirement 1200
R001201,Customer_Requirement_1201,13,c1201,Customer requirement 1201
R001202,Customer_Requirement_1202,-6,c1202,Customer requirement 1202
R001203,Customer_Requirement_1203,1,c1203,Customer requirement 1203
R001204,Customer_Requirement_1204,16,c1204,Customer requirement 1204
R001205,Customer_Requirement_1205,13,c1205,Customer requirement 1205
R001206,Customer_Requirement_1206,12,c1206,Customer requirement 1206
R001207,Customer_Requirement_1207,13,c1207,Customer requirement 1207
R001208,Customer_Requirement_1208,6,c1208,Customer requirement 1208
R001209,Customer_Requirement_1209,4,c1209,Customer requirement 1209
R001210,Customer_Requirement_1210,9,c1210,Customer requirement 1210
R001211,Customer_Requirement_1211,9,c1211,Customer requirement 1211
R001212,Customer_Requirement_1212,-1,c1212,Customer requirement 1212
R001213,Customer_Requirement_1213,-9,c1213,Customer requirement 1213
R001214,Customer_Requirement_1214,4,c1214,Customer requirement 1214
R001215,Customer_Requirement_1215,-8,c1215,Customer requirement 1215
R001216,Customer_Requirement_1216,8,c1216,Customer requirement 1216
R001217,Customer_Requirement_1217,5,c1217,Customer requirement 1217
R001218,Customer_Requirement_1218,-9,c1218,Customer requirement 1218
R001219,Customer_Requirement_1219,4,c1219,Customer requirement 1219
R001220,Customer_Requirement_1220,6,c1220,Customer requirement 1220
R001221,Customer_Requirement_1221,21,c1221,Customer requirement 1221
R001222,Customer_Requirement_1222,13,c1222,Customer requirement 1222
R001223,Customer_Requirement_1223,13,c1223,Customer requirement 1223
R001224,Customer_Requirement_1224,11,c1224,Customer requirement 1224
R001225,Customer_Requirement_1225,10,c1225,Customer requirement 1225
R001226,Customer_Requirement_1226,6,c1226,Customer requirement 1226
R001227,Customer_Requirement_1227,-8,c1227,Customer requirement 1227
R001228,Customer_Requirement_1228,20,c1228,Customer requirement 1228
R001229,Customer_Requirement_1229,-5,c1229,Customer requirement 1229
R001230,Customer_Requirement_1230,5,c1230,Customer requirement 1230
R001231,Customer_Requirement_1231,12,c1231,Customer requirement 1231
R001232,Customer_Requirement_1232,21,c1232,Customer requirement 1232
R001233,Customer_Requirement_1233,17,c1233,Customer requirement 1233
R001234,Customer_Requirement_1234,10,c1234,Customer requirement 1234
R001235,Customer_Requirement_1235,10,c1235,Customer requirement 1235
R001236,Customer_Requirement_1236,12,c1236,Customer requirement 1236
R001237,Customer_Requirement_1237,9,c1237,Customer requirement 1237
R001238,Customer_Requirement_1238,11,c1238,Customer requirement 1238
R001239,Customer_Requirement_1239,-7,c1239,Customer requirement 1239
R001240,Customer_Requirement_1240,22,c1240,Customer requirement 1240
R001241,Customer_Requirement_1241,9,c1241,Customer requirement 1241
R001242,Customer_Requirement_1242,14,c1242,Customer requirement 1242
R001243,Customer_Requirement_1243,7,c1243,Customer requirement 1243
R001244,Customer_Requirement_1244,19,c1244,Customer requirement 1244
R001245,Customer_Requirement_1245,20,c1245,Customer requirement 1245
R001246,Customer_Requirement_1246,-3,c1246,Customer requirement 1246
R001247,Customer_Requirement_1247,4,c1247,Customer requirement 1247
R001248,Customer_Requirement_1248,10,c1248,Customer requirement 1248
R001249,Customer_Requirement_1249,-6,c1249,Customer requirement 1249
R001250,Customer_Requirement_1250,14,c1250,Customer requirement 1250
R001251,Customer_Requirement_1251,11,c1251,Customer requirement 1251
R001252,Customer_Requirement_1252,11,c1252,Customer requirement 1252
R001253,Customer_Requirement_1253,-6,c1253,Customer requirement 1253
R001254,Customer_Requirement_1254,6,c1254,Customer requirement 1254
R001255,Customer_Requirement_1255,1,c1255,Customer requirement 1255
R001256,Customer_Requirement_1256,13,c1256,Customer requirement 1256
R001257,Customer_Requirement_1257,8,c1257,Customer requirement 1257
R001258,Customer_Requirement_1258,-2,c1258,Customer requirement 1258
R001259,Customer_Requirement_1259,-6,c1259,Customer requirement 1259
R001260,Customer_Requirement_1260,15,c1260,Customer requirement 1260
R001261,Customer_Requirement_1261,-9,c1261,Customer requirement 1261
R001262,Customer_Requirement_1262,-3,c1262,Customer requirement 1262
R001263,Customer_Requirement_1263,12,c1263,Customer requirement 1263
R001264,Customer_Requirement_1264,11,c1264,Customer requirement 1264
R001265,Customer_Requirement_1265,23,c1265,Customer requirement 1265
R001266,Customer_Requirement_1266,4,c1266,Customer requirement 1266
R001267,Customer_Requirement_1267,11,c1267,Customer requirement 1267
R001268,Customer_Requirement_1268,7,c1268,Customer requirement 1268
R001269,Customer_Requirement_1269,12,c1269,Customer requirement 1269
R001270,Customer_Requirement_1270,7,c1270,Customer requirement 1270
R001271,Customer_Requirement_1271,18,c1271,Customer requirement 1271
R001272,Customer_Requirement_1272,-4,c1272,Customer requirement 1272
R001273,Customer_Requirement_1273,-6,c1273,Customer requirement 1273
R001274,Customer_Requirement_1274,13,c1274,Customer requirement 1274
R001275,Customer_Requirement_1275,23,c1275,Customer requirement 1275
R001276,Customer_Requirement_1276,9,c1276,Customer requirement 1276
R001277,Customer_Requirement_1277,2,c1277,Customer requirement 1277
R001278,Customer_Requirement_1278,10,c1278,Customer requirement 1278
R001279,Customer_Requirement_1279,13,c1279,Customer requirement 1279
R001280,Customer_Requirement_1280,8,c1280,Customer requirement 1280
R001281,Customer_Requirement_1281,8,c1281,Customer requirement 1281
R001282,Customer_Requirement_1282,11,c1282,Customer requirement 1282
R001283,Customer_Requirement_1283,18,c1283,Customer requirement 1283
R001284,Customer_Requirement_1284,11,c1284,Customer requirement 1284
R001285,Customer_Requirement_1285,1,c1285,Customer requirement 1285
R001286,Customer_Requirement_1286,8,c1286,Customer requirement 1286
R001287,Customer_Requirement_1287,18,c1287,Customer requirement 1287
R001288,Customer_Requirement_1288,20,c1288,Customer requirement 1288
R001289,Customer_Requirement_1289,10,c1289,Customer requirement 1289
R001290,Customer_Requirement_1290,0,c1290,Customer requirement 1290
R001291,Customer_Requirement_1291,5,c1291,Customer requirement 1291
R001292,Customer_Requirement_1292,7,c1292,Customer requirement 1292
R001293,Customer_Requirement_1293,22,c1293,Customer requirement 1293
R001294,Customer_Requirement_1294,12,c1294,Customer requirement 1294
R001295,Customer_Requirement_1295,12,c1295,Customer requirement 1295
R001296,Customer_Requirement_1296,6,c1296,Customer requirement 1296
R001297,Customer_Requirement_1297,10,c1297,Customer requirement 1297
R001298,Customer_Requirement_1298,4,c1298,Customer requirement 1298
R001299,Customer_Requirement_1299,16,c1299,Customer requirement 1299
R001300,Customer_Requirement_1300,2,c1300,Customer requirement 1300
R001301,Customer_Requirement_1301,4,c1301,Customer requirement 1301
R001302,Customer_Requirement_1302,7,c1302,Customer requirement 1302
R001303,Customer_Requirement_1303,16,c1303,Customer requirement 1303
R001304,Customer_Requirement_1304,11,c1304,Customer requirement 1304
R001305,Customer_Requirement_1305,6,c1305,Customer requirement 1305
R001306,Customer_Requirement_1306,12,c1306,Customer requirement 1306
R001307,Customer_Requirement_1307,11,c1307,Customer requirement 1307
R001308,Customer_Requirement_1308,12,c1308,Customer requirement 1308
R001309,Customer_Requirement_1309,13,c1309,Customer requirement 1309
R001310,Customer_Requirement_1310,7,c1310,Customer requirement 1310
R001311,Customer_Requirement_1311,8,c1311,Customer requirement 1311
R001312,Customer_Requirement_1312,13,c1312,Customer requirement 1312
R001313,Customer_Requirement_1313,4,c1313,Customer requirement 1313
R001314,Customer_Requirement_1314,9,c1314,Customer requirement 1314
R001315,Customer_Requirement_1315,12,c1315,Customer requirement 1315
R001316,Customer_Requirement_1316,9,c1316,Customer requirement 1316
R001317,Customer_Requirement_1317,10,c1317,Customer requirement 1317
R001318,Customer_Requirement_1318,-3,c1318,Customer requirement 1318
R001319,Customer_Requirement_1319,4,c1319,Customer requirement 1319
R001320,Customer_Requirement_1320,9,c1320,Customer requirement 1320
R001321,Customer_Requirement_1321,5,c1321,Customer requirement 1321
R001322,Customer_Requirement_1322,21,c1322,Customer requirement 1322
R001323,Customer_Requirement_1323,16,c1323,Customer requirement 1323
R001324,Customer_Requirement_1324,12,c1324,Customer requirement 1324
R001325,Customer_Requirement_1325,9,c1325,Customer requirement 1325
R001326,Customer_Requirement_1326,6,c1326,Customer requirement 1326
R001327,Customer_Requirement_1327,12,c1327,Customer requirement 1327
R001328,Customer_Requirement_1328,14,c1328,Customer requirement 1328
R001329,Customer_Requirement_1329,13,c1329,Customer requirement 1329
R001330,Customer_Requirement_1330,9,c1330,Customer requirement 1330
R001331,Customer_Requirement_1331,16,c1331,Customer requirement 1331
R001332,Customer_Requirement_1332,10,c1332,Customer requirement 1332
R001333,Customer_Requirement_1333,5,c1333,Customer requirement 1333
R001334,Customer_Requirement_1334,18,c1334,Customer requirement 1334
R001335,Customer_Requirement_1335,1,c1335,Customer requirement 1335
R001336,Customer_Requirement_1336,-5,c1336,Customer requirement 1336
R001337,Customer_Requirement_1337,21,c1337,Customer requirement 1337
R001338,Customer_Requirement_1338,8,c1338,Customer requirement 1338
R001339,Customer_Requirement_1339,20,c1339,Customer requirement 1339
R001340,Customer_Requirement_1340,7,c1340,Customer requirement 1340
R001341,Customer_Requirement_1341,0,c1341,Customer requirement 1341
R001342,Customer_Requirement_1342,-2,c1342,Customer requirement 1342
R001343,Customer_Requirement_1343,15,c1343,Customer requirement 1343
R001344,Customer_Requirement_1344,8,c1344,Customer requirement 1344
R001345,Customer_Requirement_1345,8,c1345,Customer requirement 1345
R001346,Customer_Requirement_1346,13,c1346,Customer requirement 1346
R001347,Customer_Requirement_1347,15,c1347,Customer requirement 1347
R001348,Customer_Requirement_1348,22,c1348,Customer requirement 1348
R001349,Customer_Requirement_1349,2,c1349,Customer requirement 1349
R001350,Customer_Requirement_1350,-4,c1350,Customer requirement 1350
R001351,Customer_Requirement_1351,-10,c1351,Customer requirement 1351
R001352,Customer_Requirement_1352,17,c1352,Customer requirement 1352
R001353,Customer_Requirement_1353,16,c1353,Customer requirement 1353
R001354,Customer_Requirement_1354,11,c1354,Customer requirement 1354
R001355,Customer_Requirement_1355,7,c1355,Customer requirement 1355
R001356,Customer_Requirement_1356,8,c1356,Customer requirement 1356
R001357,Customer_Requirement_1357,9,c1357,Customer requirement 1357
R001358,Customer_Requirement_1358,-3,c1358,Customer requirement 1358
R001359,Customer_Requirement_1359,4,c1359,Customer requirement 1359
R001360,Customer_Requirement_1360,3,c1360,Customer requirement 1360
R001361,Customer_Requirement_1361,10,c1361,Customer requirement 1361
R001362,Customer_Requirement_1362,4,c1362,Customer requirement 1362
R001363,Customer_Requirement_1363,19,c1363,Customer requirement 1363
R001364,Customer_Requirement_1364,1,c1364,Customer requirement 1364
R001365,Customer_Requirement_1365,5,c1365,Customer requirement 1365
R001366,Customer_Requirement_1366,16,c1366,Customer requirement 1366
R001367,Customer_Requirement_1367,10,c1367,Customer requirement 1367
R001368,Customer_Requirement_1368,13,c1368,Customer requirement 1368
R001369,Customer_Requirement_1369,4,c1369,Customer requirement 1369
R001370,Customer_Requirement_1370,5,c1370,Customer requirement 1370
R001371,Customer_Requirement_1371,18,c1371,Customer requirement 1371
R001372,Customer_Requirement_1372,9,c1372,Customer requirement 1372
R001373,Customer_Requirement_1373,9,c1373,Customer requirement 1373
R001374,Customer_Requirement_1374,10,c1374,Customer requirement 1374
R001375,Customer_Requirement_1375,2,c1375,Customer requirement 1375
R001376,Customer_Requirement_1376,16,c1376,Customer requirement 1376
R001377,Customer_Requirement_1377,14,c1377,Customer requirement 1377
R001378,Customer_Requirement_1378,5,c1378,Customer requirement 1378
R001379,Customer_Requirement_1379,23,c1379,Customer requirement 1379
R001380,Customer_Requirement_1380,10,c1380,Customer requirement 1380
R001381,Customer_Requirement_1381,11,c1381,Customer requirement 1381
R001382,Customer_Requirement_1382,1,c1382,Customer requirement 1382
R001383,Customer_Requirement_1383,6,c1383,Customer requirement 1383
R001384,Customer_Requirement_1384,10,c1384,Customer requirement 1384
R001385,Customer_Requirement_1385,21,c1385,Customer requirement 1385
R001386,Customer_Requirement_1386,-9,c1386,Customer requirement 1386
R001387,Customer_Requirement_1387,8,c1387,Customer requirement 1387
R001388,Customer_Requirement_1388,12,c1388,Customer requirement 1388
R001389,Customer_Requirement_1389,8,c1389,Customer requirement 1389
R001390,Customer_Requirement_1390,7,c1390,Customer requirement 1390
R001391,Customer_Requirement_1391,11,c1391,Customer requirement 1391
R001392,Customer_Requirement_1392,8,c1392,Customer requirement 1392
R001393,Customer_Requirement_1393,-7,c1393,Customer requirement 1393
R001394,Customer_Requirement_1394,20,c1394,Customer requirement 1394
R001395,Customer_Requirement_1395,14,c1395,Customer requirement 1395
R001396,Customer_Requirement_1396,9,c1396,Customer requirement 1396
R001397,Customer_Requirement_1397,6,c1397,Customer requirement 1397
R001398,Customer_Requirement_1398,14,c1398,Customer requirement 1398
R001399,Customer_Requirement_1399,-5,c1399,Customer requirement 1399
R001400,Customer_Requirement_1400,-9,c1400,Customer requirement 1400
R001401,Customer_Requirement_1401,11,c1401,Customer requirement 1401
R001402,Customer_Requirement_1402,-9,c1402,Customer requirement 1402
R001403,Customer_Requirement_1403,-5,c1403,Customer requirement 1403
R001404,Customer_Requirement_1404,16,c1404,Customer requirement 1404
R001405,Customer_Requirement_1405,4,c1405,Customer requirement 1405
R001406,Customer_Requirement_1406,7,c1406,Customer requirement 1406
R001407,Customer_Requirement_1407,-1,c1407,Customer requirement 1407
R001408,Customer_Requirement_1408,8,c1408,Customer requirement 1408
R001409,Customer_Requirement_1409,-7,c1409,Customer requirement 1409
R001410,Customer_Requirement_1410,-3,c1410,Customer requirement 1410
R001411,Customer_Requirement_1411,4,c1411,Customer requirement 1411
R001412,Customer_Requirement_1412,10,c1412,Customer requirement 1412
R001413,Customer_Requirement_1413,19,c1413,Customer requirement 1413
R001414,Customer_Requirement_1414,7,c1414,Customer requirement 1414
R001415,Customer_Requirement_1415,7,c1415,Customer requirement 1415
R001416,Customer_Requirement_1416,7,c1416,Customer requirement 1416
R001417,Customer_Requirement_1417,8,c1417,Customer requirement 1417
R001418,Customer_Requirement_1418,11,c1418,Customer requirement 1418
R001419,Customer_Requirement_1419,7,c1419,Customer requirement 1419
R001420,Customer_Requirement_1420,-7,c1420,Customer requirement 1420
R001421,Customer_Requirement_1421,13,c1421,Customer requirement 1421
R001422,Customer_Requirement_1422,11,c1422,Customer requirement 1422
R001423,Customer_Requirement_1423,15,c1423,Customer requirement 1423
R001424,Customer_Requirement_1424,9,c1424,Customer requirement 1424
R001425,Customer_Requirement_1425,13,c1425,Customer requirement 1425
R001426,Customer_Requirement_1426,16,c1426,Customer requirement 1426
R001427,Customer_Requirement_1427,-4,c1427,Customer requirement 1427
R001428,Customer_Requirement_1428,4,c1428,Customer requirement 1428
R001429,Customer_Requirement_1429,-1,c1429,Customer requirement 1429
R001430,Customer_Requirement_1430,20,c1430,Customer requirement 1430
R001431,Customer_Requirement_1431,12,c1431,Customer requirement 1431
R001432,Customer_Requirement_1432,11,c1432,Customer requirement 1432
R001433,Customer_Requirement_1433,12,c1433,Customer requirement 1433
R001434,Customer_Requirement_1434,-5,c1434,Customer requirement 1434
R001435,Customer_Requirement_1435,22,c1435,Customer requirement 1435
R001436,Customer_Requirement_1436,6,c1436,Customer requirement 1436
R001437,Customer_Requirement_1437,-2,c1437,Customer requirement 1437
R001438,Customer_Requirement_1438,13,c1438,Customer requirement 1438
R001439,Customer_Requirement_1439,17,c1439,Customer requirement 1439
R001440,Customer_Requirement_1440,24,c1440,Customer requirement 1440
R001441,Customer_Requirement_1441,19,c1441,Customer requirement 1441
R001442,Customer_Requirement_1442,14,c1442,Customer requirement 1442
R001443,Customer_Requirement_1443,-5,c1443,Customer requirement 1443
R001444,Customer_Requirement_1444,8,c1444,Customer requirement 1444
R001445,Customer_Requirement_1445,11,c1445,Customer requirement 1445
R001446,Customer_Requirement_1446,11,c1446,Customer requirement 1446
R001447,Customer_Requirement_1447,-6,c1447,Customer requirement 1447
R001448,Customer_Requirement_1448,5,c1448,Customer requirement 1448
R001449,Customer_Requirement_1449,-7,c1449,Customer requirement 1449
R001450,Customer_Requirement_1450,-7,c1450,Customer requirement 1450
R001451,Customer_Requirement_1451,14,c1451,Customer requirement 1451
R001452,Customer_Requirement_1452,13,c1452,Customer requirement 1452
R001453,Customer_Requirement_1453,21,c1453,Customer requirement 1453
R001454,Customer_Requirement_1454,10,c1454,Customer requirement 1454
R001455,Customer_Requirement_1455,13,c1455,Customer requirement 1455
R001456,Customer_Requirement_1456,17,c1456,Customer requirement 1456
R001457,Customer_Requirement_1457,20,c1457,Customer requirement 1457
R001458,Customer_Requirement_1458,12,c1458,Customer requirement 1458
R001459,Customer_Requirement_1459,5,c1459,Customer requirement 1459
R001460,Customer_Requirement_1460,5,c1460,Customer requirement 1460
R001461,Customer_Requirement_1461,18,c1461,Customer requirement 1461
R001462,Customer_Requirement_1462,16,c1462,Customer requirement 1462
R001463,Customer_Requirement_1463,5,c1463,Customer requirement 1463
R001464,Customer_Requirement_1464,8,c1464,Customer requirement 1464
R001465,Customer_Requirement_1465,6,c1465,Customer requirement 1465
R001466,Customer_Requirement_1466,18,c1466,Customer requirement 1466
R001467,Customer_Requirement_1467,4,c1467,Customer requirement 1467
R001468,Customer_Requirement_1468,1,c1468,Customer requirement 1468
R001469,Customer_Requirement_1469,-9,c1469,Customer requirement 1469
R001470,Customer_Requirement_1470,12,c1470,Customer requirement 1470
R001471,Customer_Requirement_1471,11,c1471,Customer requirement 1471
R001472,Customer_Requirement_1472,11,c1472,Customer requirement 1472
R001473,Customer_Requirement_1473,12,c1473,Customer requirement 1473
R001474,Customer_Requirement_1474,-9,c1474,Customer requirement 1474
R001475,Customer_Requirement_1475,12,c1475,Customer requirement 1475
R001476,Customer_Requirement_1476,20,c1476,Customer requirement 1476
R001477,Customer_Requirement_1477,16,c1477,Customer requirement 1477
R001478,Customer_Requirement_1478,1,c1478,Customer requirement 1478
R001479,Customer_Requirement_1479,-4,c1479,Customer requirement 1479
R001480,Customer_Requirement_1480,1,c1480,Customer requirement 1480
R001481,Customer_Requirement_1481,6,c1481,Customer requirement 1481
R001482,Customer_Requirement_1482,4,c1482,Customer requirement 1482
R001483,Customer_Requirement_1483,17,c1483,Customer requirement 1483
R001484,Customer_Requirement_1484,24,c1484,Customer requirement 1484
R001485,Customer_Requirement_1485,9,c1485,Customer requirement 1485
R001486,Customer_Requirement_1486,13,c1486,Customer requirement 1486
R001487,Customer_Requirement_1487,19,c1487,Customer requirement 1487
R001488,Customer_Requirement_1488,-6,c1488,Customer requirement 1488
R001489,Customer_Requirement_1489,13,c1489,Customer requirement 1489
R001490,Customer_Requirement_1490,14,c1490,Customer requirement 1490
R001491,Customer_Requirement_1491,9,c1491,Customer requirement 1491
R001492,Customer_Requirement_1492,13,c1492,Customer requirement 1492
R001493,Customer_Requirement_1493,12,c1493,Customer requirement 1493
R001494,Customer_Requirement_1494,13,c1494,Customer requirement 1494
R001495,Customer_Requirement_1495,21,c1495,Customer requirement 1495
R001496,Customer_Requirement_1496,12,c1496,Customer requirement 1496
R001497,Customer_Requirement_1497,-1,c1497,Customer requirement 1497
R001498,Customer_Requirement_1498,-3,c1498,Customer requirement 1498
R001499,Customer_Requirement_1499,9,c1499,Customer requirement 1499
R001500,Customer_Requirement_1500,6,c1500,Customer requirement 1500
R001501,Customer_Requirement_1501,13,c1501,Customer requirement 1501
R001502,Customer_Requirement_1502,11,c1502,Customer requirement 1502
R001503,Customer_Requirement_1503,14,c1503,Customer requirement 1503
R001504,Customer_Requirement_1504,12,c1504,Customer requirement 1504
R001505,Customer_Requirement_1505,9,c1505,Customer requirement 1505
R001506,Customer_Requirement_1506,20,c1506,Customer requirement 1506
R001507,Customer_Requirement_1507,9,c1507,Customer requirement 1507
R001508,Customer_Requirement_1508,5,c1508,Customer requirement 1508
R001509,Customer_Requirement_1509,10,c1509,Customer requirement 1509
R001510,Customer_Requirement_1510,15,c1510,Customer requirement 1510
R001511,Customer_Requirement_1511,12,c1511,Customer requirement 1511
R001512,Customer_Requirement_1512,-10,c1512,Customer requirement 1512
R001513,Customer_Requirement_1513,18,c1513,Customer requirement 1513
R001514,Customer_Requirement_1514,13,c1514,Customer requirement 1514
R001515,Customer_Requirement_1515,13,c1515,Customer requirement 1515
R001516,Customer_Requirement_1516,22,c1516,Customer requirement 1516
R001517,Customer_Requirement_1517,19,c1517,Customer requirement 1517
R001518,Customer_Requirement_1518,-7,c1518,Customer requirement 1518
R001519,Customer_Requirement_1519,-9,c1519,Customer requirement 1519
R001520,Customer_Requirement_1520,3,c1520,Customer requirement 1520
R001521,Customer_Requirement_1521,7,c1521,Customer requirement 1521
R001522,Customer_Requirement_1522,2,c1522,Customer requirement 1522
R001523,Customer_Requirement_1523,14,c1523,Customer requirement 1523
R001524,Customer_Requirement_1524,17,c1524,Customer requirement 1524
R001525,Customer_Requirement_1525,11,c1525,Customer requirement 1525
R001526,Customer_Requirement_1526,14,c1526,Customer requirement 1526
R001527,Customer_Requirement_1527,7,c1527,Customer requirement 1527
R001528,Customer_Requirement_1528,9,c1528,Customer requirement 1528
R001529,Customer_Requirement_1529,9,c1529,Customer requirement 1529
R001530,Customer_Requirement_1530,3,c1530,Customer requirement 1530
R001531,Customer_Requirement_1531,-9,c1531,Customer requirement 1531
R001532,Customer_Requirement_1532,9,c1532,Customer requirement 1532
R001533,Customer_Requirement_1533,13,c1533,Customer requirement 1533
R001534,Customer_Requirement_1534,4,c1534,Customer requirement 1534
R001535,Customer_Requirement_1535,5,c1535,Customer requirement 1535
R001536,Customer_Requirement_1536,15,c1536,Customer requirement 1536
R001537,Customer_Requirement_1537,12,c1537,Customer requirement 1537
R001538,Customer_Requirement_1538,10,c1538,Customer requirement 1538
R001539,Customer_Requirement_1539,-1,c1539,Customer requirement 1539
R001540,Customer_Requirement_1540,5,c1540,Customer requirement 1540
R001541,Customer_Requirement_1541,21,c1541,Customer requirement 1541
R001542,Customer_Requirement_1542,11,c1542,Customer requirement 1542
R001543,Customer_Requirement_1543,24,c1543,Customer requirement 1543
R001544,Customer_Requirement_1544,11,c1544,Customer requirement 1544
R001545,Customer_Requirement_1545,1,c1545,Customer requirement 1545
R001546,Customer_Requirement_1546,8,c1546,Customer requirement 1546
R001547,Customer_Requirement_1547,-2,c1547,Customer requirement 1547
R001548,Customer_Requirement_1548,19,c1548,Customer requirement 1548
R001549,Customer_Requirement_1549,12,c1549,Customer requirement 1549
R001550,Customer_Requirement_1550,1,c1550,Customer requirement 1550
R001551,Customer_Requirement_1551,4,c1551,Customer requirement 1551
R001552,Customer_Requirement_1552,14,c1552,Customer requirement 1552
