Main pipe0,(0 0),(1 0),(2 0),(3 0),(4 0),(5 0),(6 0),(7 0),(8 0),(9 0),(10 0),(11 0),(12 0),(13 0),(14 0),(15 0),(16 0),(17 0),(18 0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main pipe1,(0 0),(1 0),(1 11),(2 0),(2 11),(3 0),(3 11),(4 0),(4 11),(5 0),(5 11),(6 0),(6 11),(7 0),(7 11),(8 0),(8 11),(9 0),(9 11),(10 0),(10 11),(11 0),(11 11),(12 0),(12 11),(13 0),(13 11),(14 0),(14 11),(15 0),(15 11),(16 0),(16 11),(17 0),(17 11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main pipe23,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 11),(9 16),(9 19),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(9 51),(10 11),(10 16),(10 19),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(10 52),(11 16),(11 19),(11 27),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(11 45),(11 46),(11 55),(12 19),(12 27),(12 30),(12 32),(12 34),(12 35),(12 36),(12 43),(12 45),(12 48),(12 50),(13 27),(13 30),(13 32),(13 34),(13 35),(13 41),(13 43),(13 45),(13 48),(13 53),(13 55),(14 27),(14 30),(14 32),(14 35),(14 36),(14 41),(14 43),(14 45),(14 46),(14 47),(14 50),(14 55),(14 57),(15 41),(15 43),(15 45),(15 47),(15 49),(15 53),(15 56),(16 45),(16 48),(16 49),(16 50),(16 53),(16 56),(16 57),(17 45),(17 48),(17 49),(17 50),(17 53),(17 56),(17 57),(18 48),(18 53),(18 55),(18 57),(19 50),(19 55),(19 56),(19 57),
Main pipe24,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 11),(9 16),(9 19),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(9 51),(10 16),(10 19),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(10 52),(11 16),(11 19),(11 27),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(11 45),(11 46),(11 55),(12 19),(12 27),(12 30),(12 32),(12 34),(12 35),(12 36),(12 43),(12 45),(12 48),(12 50),(12 59),(13 27),(13 30),(13 32),(13 34),(13 35),(13 41),(13 43),(13 45),(13 48),(13 53),(13 55),(14 27),(14 30),(14 32),(14 35),(14 36),(14 41),(14 43),(14 45),(14 46),(14 47),(14 50),(14 55),(14 57),(15 41),(15 43),(15 45),(15 47),(15 49),(15 53),(15 56),(16 45),(16 48),(16 49),(16 50),(16 53),(16 56),(16 57),(16 59),(17 45),(17 48),(17 49),(17 50),(17 53),(17 56),(17 57),(17 59),(18 53),(18 55),(18 57),(19 55),(19 56),(19 57),(19 59)
Main pipe25,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 16),(9 19),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(9 51),(10 16),(10 19),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(10 52),(11 19),(11 27),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(11 45),(11 46),(11 55),(12 27),(12 30),(12 32),(12 34),(12 35),(12 36),(12 43),(12 45),(12 48),(12 50),(12 59),(13 27),(13 30),(13 32),(13 34),(13 35),(13 41),(13 43),(13 45),(13 48),(13 53),(13 55),(14 30),(14 32),(14 35),(14 36),(14 41),(14 43),(14 45),(14 46),(14 47),(14 50),(14 55),(14 57),(15 43),(15 45),(15 47),(15 49),(15 53),(15 56),(15 61),(16 48),(16 49),(16 50),(16 53),(16 56),(16 57),(16 59),(17 48),(17 49),(17 50),(17 53),(17 56),(17 57),(17 59),(18 53),(18 55),(18 57),(18 61),(19 55),(19 56),(19 57),(19 59),(19 61),,,,
Main pipe26,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 16),(9 19),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(9 51),(10 19),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(10 52),(11 27),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(11 45),(11 46),(11 55),(12 27),(12 30),(12 32),(12 34),(12 35),(12 36),(12 43),(12 45),(12 48),(12 50),(12 59),(13 30),(13 32),(13 34),(13 35),(13 41),(13 43),(13 45),(13 48),(13 53),(13 55),(13 64),(14 32),(14 35),(14 36),(14 41),(14 43),(14 45),(14 46),(14 47),(14 50),(14 55),(14 57),(15 47),(15 49),(15 53),(15 56),(15 61),(16 49),(16 50),(16 53),(16 56),(16 57),(16 59),(16 64),(17 49),(17 50),(17 53),(17 56),(17 57),(17 59),(17 64),(18 55),(18 57),(18 61),(18 64),(19 56),(19 57),(19 59),(19 61),(19 64),,,,,,,,,
Main pipe27,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 19),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(9 51),(10 19),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(10 52),(11 27),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(11 45),(11 46),(11 55),(12 27),(12 30),(12 32),(12 34),(12 35),(12 36),(12 43),(12 45),(12 48),(12 50),(12 59),(13 30),(13 32),(13 34),(13 35),(13 41),(13 43),(13 45),(13 48),(13 53),(13 55),(13 64),(14 32),(14 35),(14 36),(14 41),(14 43),(14 45),(14 46),(14 47),(14 50),(14 55),(14 57),(15 47),(15 49),(15 53),(15 56),(15 61),(15 65),(16 50),(16 53),(16 56),(16 57),(16 59),(16 64),(16 65),(17 50),(17 53),(17 56),(17 57),(17 59),(17 64),(17 65),(18 55),(18 57),(18 61),(18 64),(19 57),(19 59),(19 61),(19 64),,,,,,,,,,
Main pipe28,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 19),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(9 51),(10 19),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(10 52),(11 27),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(11 45),(11 46),(11 55),(12 27),(12 30),(12 32),(12 34),(12 35),(12 36),(12 43),(12 45),(12 48),(12 50),(12 59),(13 32),(13 34),(13 35),(13 41),(13 43),(13 45),(13 48),(13 53),(13 55),(13 64),(14 35),(14 36),(14 41),(14 43),(14 45),(14 46),(14 47),(14 50),(14 55),(14 57),(14 66),(15 49),(15 53),(15 56),(15 61),(15 65),(16 53),(16 56),(16 57),(16 59),(16 64),(16 65),(17 53),(17 56),(17 57),(17 59),(17 64),(17 65),(18 57),(18 61),(18 64),(19 59),(19 61),(19 64),,,,,,,,,,,,,,,,,
Main pipe29,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(9 51),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(10 52),(11 27),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(11 45),(11 46),(11 55),(12 30),(12 32),(12 34),(12 35),(12 36),(12 43),(12 45),(12 48),(12 50),(12 59),(13 34),(13 35),(13 41),(13 43),(13 45),(13 48),(13 53),(13 55),(13 64),(14 35),(14 36),(14 41),(14 43),(14 45),(14 46),(14 47),(14 50),(14 55),(14 57),(14 66),(15 53),(15 56),(15 61),(15 65),(16 53),(16 56),(16 57),(16 59),(16 64),(16 65),(16 68),(17 53),(17 56),(17 57),(17 59),(17 64),(17 65),(17 68),(18 61),(18 64),(19 61),(19 64),,,,,,,,,,,,,,,,,,,,,,,
Main pipe30,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(9 51),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(10 52),(11 27),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(11 45),(11 46),(11 55),(12 30),(12 32),(12 34),(12 35),(12 36),(12 43),(12 45),(12 48),(12 50),(12 59),(13 35),(13 41),(13 43),(13 45),(13 48),(13 53),(13 55),(13 64),(14 41),(14 43),(14 45),(14 46),(14 47),(14 50),(14 55),(14 57),(14 66),(15 53),(15 56),(15 61),(15 65),(15 70),(16 56),(16 57),(16 59),(16 64),(16 65),(16 68),(17 56),(17 57),(17 59),(17 64),(17 65),(17 68),(18 61),(18 64),(18 70),(19 64),,,,,,,,,,,,,,,,,,,,,,,,,,,
Main pipe31,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 11),(6 16),(6 19),(6 27),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(9 51),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(10 52),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(11 45),(11 46),(11 55),(12 32),(12 34),(12 35),(12 36),(12 43),(12 45),(12 48),(12 50),(12 59),(13 41),(13 43),(13 45),(13 48),(13 53),(13 55),(13 64),(14 41),(14 43),(14 45),(14 46),(14 47),(14 50),(14 55),(14 57),(14 66),(15 56),(15 61),(15 65),(15 70),(15 72),(16 57),(16 59),(16 64),(16 65),(16 68),(17 57),(17 59),(17 64),(17 65),(17 68),(18 64),(18 70),(19 64),(19 72),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main pipe32,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 11),(6 16),(6 19),(6 27),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(9 51),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(10 52),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(11 45),(11 46),(11 55),(12 34),(12 35),(12 36),(12 43),(12 45),(12 48),(12 50),(12 59),(13 41),(13 43),(13 45),(13 48),(13 53),(13 55),(13 64),(14 41),(14 43),(14 45),(14 46),(14 47),(14 50),(14 55),(14 57),(14 66),(15 56),(15 61),(15 65),(15 70),(15 72),(16 59),(16 64),(16 65),(16 68),(16 73),(17 59),(17 64),(17 65),(17 68),(17 73),(18 64),(18 70),(18 73),(19 72),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main pipe33,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 11),(3 16),(3 19),(4 11),(4 16),(4 19),(5 11),(5 16),(5 19),(6 11),(6 16),(6 19),(6 27),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(9 51),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(10 52),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(11 45),(11 46),(11 55),(12 35),(12 36),(12 43),(12 45),(12 48),(12 50),(12 59),(13 41),(13 43),(13 45),(13 48),(13 53),(13 55),(13 64),(14 43),(14 45),(14 46),(14 47),(14 50),(14 55),(14 57),(14 66),(15 61),(15 65),(15 70),(15 72),(16 64),(16 65),(16 68),(16 73),(16 75),(17 64),(17 65),(17 68),(17 73),(17 75),(18 70),(18 73),(19 72),(19 75),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main pipe34,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 11),(3 16),(3 19),(4 11),(4 16),(4 19),(5 11),(5 16),(5 19),(6 11),(6 16),(6 19),(6 27),(7 16),(7 19),(7 27),(7 30),(7 32),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(9 51),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(10 52),(11 36),(11 41),(11 43),(11 45),(11 46),(11 55),(12 43),(12 45),(12 48),(12 50),(12 59),(13 45),(13 48),(13 53),(13 55),(13 64),(14 47),(14 50),(14 55),(14 57),(14 66),(15 65),(15 70),(15 72),(16 65),(16 68),(16 73),(16 75),(17 65),(17 68),(17 73),(17 75),(18 70),(18 73),(18 80),(19 72),(19 75),(19 80),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main pipe35,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 11),(3 16),(3 19),(4 11),(4 16),(4 19),(5 11),(5 16),(5 19),(6 11),(6 16),(6 19),(6 27),(7 16),(7 19),(7 27),(7 30),(7 32),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(9 51),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(10 52),(11 41),(11 43),(11 45),(11 46),(11 55),(12 43),(12 45),(12 48),(12 50),(12 59),(13 48),(13 53),(13 55),(13 64),(14 50),(14 55),(14 57),(14 66),(15 65),(15 70),(15 72),(15 81),(16 68),(16 73),(16 75),(17 68),(17 73),(17 75),(18 73),(18 80),(19 75),(19 80),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main pipe36,(0 0),(1 0),(1 11),(2 11),(2 16),(3 11),(3 16),(3 19),(4 11),(4 16),(4 19),(5 11),(5 16),(5 19),(6 16),(6 19),(6 27),(7 19),(7 27),(7 30),(7 32),(8 19),(8 27),(8 30),(8 32),(8 34),(9 36),(9 41),(9 43),(9 45),(9 51),(10 41),(10 43),(10 45),(10 52),(11 41),(11 43),(11 45),(11 46),(11 55),(12 45),(12 48),(12 50),(12 59),(13 53),(13 55),(13 64),(14 55),(14 57),(14 66),(15 70),(15 72),(15 81),(16 73),(16 75),(16 84),(17 73),(17 75),(17 84),(18 80),(19 80),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main pipe37,(0 0),(1 11),(2 11),(2 16),(3 16),(3 19),(4 16),(4 19),(5 16),(5 19),(6 19),(6 27),(7 27),(7 30),(7 32),(8 27),(8 30),(8 32),(8 34),(9 41),(9 43),(9 45),(9 51),(10 43),(10 45),(10 52),(11 45),(11 46),(11 55),(12 50),(12 59),(13 55),(13 64),(14 57),(14 66),(15 72),(15 81),(16 75),(16 84),(17 75),(17 84),(18 80),(18 89),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main pipe38,(1 11),(2 11),(2 16),(3 19),(4 19),(5 19),(6 27),(7 27),(7 30),(7 32),(8 27),(8 30),(8 32),(8 34),(9 43),(9 45),(9 51),(10 45),(10 52),(11 55),(12 59),(13 64),(14 66),(15 81),(16 84),(17 84),(18 89),(19 91),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
