Variable_ID,Type,Lower_Bound,Upper_Bound,Obj_Coefficient
C0699,Integer,0.0,1.0,-572.0
C0700,Integer,0.0,1.0,-572.0
C0701,Integer,0.0,1.0,-1859.0
C0702,Integer,0.0,1.0,-214.5
C0703,Integer,0.0,1.0,-1644.5
C0704,Integer,0.0,1.0,-6435.0
C0705,Integer,0.0,1.0,-28743.0
C0706,Integer,0.0,1.0,-36608.0
C0707,Integer,0.0,1.0,-92235.0
C0708,Integer,0.0,1.0,-1001.0
C0709,Integer,0.0,1.0,-2145.0
C0710,Integer,0.0,1.0,-1144.0
C0711,Integer,0.0,1.0,-143.0
C0712,Integer,0.0,1.0,-1859.0
C0713,Integer,0.0,1.0,-1644.5
C0714,Integer,0.0,1.0,-8008.0
C0715,Integer,0.0,1.0,-28457.0
C0716,Integer,0.0,1.0,-36322.0
C0717,Integer,0.0,1.0,-91806.0
C0718,Integer,0.0,1.0,-21593.0
C0719,Integer,0.0,1.0,-29458.0
C0720,Integer,0.0,1.0,-85800.0
C0721,Integer,0.0,1.0,-8008.0
C0722,Integer,0.0,1.0,-66781.0
C0723,Integer,0.0,1.0,-56914.0
C0724,Integer,0.0,1.0,-1010.0
C0725,Integer,0.0,1.0,-1010.0
C0726,Integer,0.0,1.0,-170.0
C0727,Integer,0.0,1.0,-170.0
C0728,Integer,0.0,1.0,-1122.0
C0729,Integer,0.0,1.0,-2326.0
C0730,Integer,0.0,1.0,-1122.0
C0731,Integer,0.0,1.0,-1402.0
C0732,Integer,0.0,1.0,-2326.0
C0733,Integer,0.0,1.0,-1402.0
C0734,Integer,0.0,1.0,-618.0
C0735,Integer,0.0,1.0,-184.0
C0736,Integer,0.0,1.0,-72.0
C0737,Integer,0.0,1.0,-478.0
C0738,Integer,0.0,1.0,-422.0
C0739,Integer,0.0,1.0,-114.0
C0740,Integer,0.0,1.0,-618.0
C0741,Integer,0.0,1.0,-562.0
C0742,Integer,0.0,1.0,-618.0
C0743,Integer,0.0,1.0,-814.0
C0744,Integer,0.0,1.0,-282.0
C0745,Integer,0.0,1.0,-618.0
C0746,Integer,0.0,1.0,-184.0
C0747,Integer,0.0,1.0,-562.0
C0748,Integer,0.0,1.0,-184.0
C0749,Integer,0.0,1.0,-366.0
C0750,Integer,0.0,1.0,-450.0
C0751,Integer,0.0,1.0,-170.0
C0752,Integer,0.0,1.0,-72.0
C0753,Integer,0.0,1.0,-618.0
C0754,Integer,0.0,1.0,-184.0
C0755,Integer,0.0,1.0,-450.0
C0756,Integer,0.0,1.0,-450.0
C0757,Integer,0.0,1.0,-86.0
C0758,Integer,0.0,1.0,-478.0
C0759,Integer,0.0,1.0,-814.0
C0760,Integer,0.0,1.0,-366.0
C0761,Integer,0.0,1.0,-450.0
C0762,Integer,0.0,1.0,-618.0
C0763,Integer,0.0,1.0,-366.0
C0764,Integer,0.0,1.0,-422.0
C0765,Integer,0.0,1.0,-282.0
C0766,Integer,0.0,1.0,-450.0
C0767,Integer,0.0,1.0,-450.0
C0768,Integer,0.0,1.0,-618.0
C0769,Integer,0.0,1.0,-422.0
C0770,Integer,0.0,1.0,-114.0
C0771,Integer,0.0,1.0,-618.0
C0772,Integer,0.0,1.0,-170.0
C0773,Integer,0.0,1.0,-86.0
C0774,Integer,0.0,1.0,-366.0
C0775,Integer,0.0,1.0,-422.0
C0776,Integer,0.0,1.0,-1010.0
C0777,Integer,0.0,1.0,-1010.0
C0778,Integer,0.0,1.0,-1010.0
C0779,Integer,0.0,1.0,-1010.0
C0780,Integer,0.0,1.0,-1010.0
C0781,Integer,0.0,1.0,-1010.0
C0782,Integer,0.0,1.0,-1010.0
C0783,Integer,0.0,1.0,-1010.0
C0784,Integer,0.0,1.0,-1010.0
C0785,Integer,0.0,1.0,-1010.0
C0786,Integer,0.0,1.0,-1010.0
C0787,Integer,0.0,1.0,-1010.0
C0788,Integer,0.0,1.0,-1010.0
C0789,Integer,0.0,1.0,-1010.0
C0790,Integer,0.0,1.0,-1010.0
C0791,Integer,0.0,1.0,-1010.0
C0792,Integer,0.0,1.0,-1010.0
C0793,Integer,0.0,1.0,-1010.0
C0794,Integer,0.0,1.0,-1010.0
C0795,Integer,0.0,1.0,-1010.0
C0796,Integer,0.0,1.0,-1010.0
C0797,Integer,0.0,1.0,-1010.0
C0798,Integer,0.0,1.0,-1010.0
C0799,Integer,0.0,1.0,-1010.0
C0800,Integer,0.0,1.0,-1010.0
C0801,Integer,0.0,1.0,-1010.0
C0802,Integer,0.0,1.0,-1010.0
C0803,Integer,0.0,1.0,-1010.0
C0804,Integer,0.0,1.0,-1010.0
C0805,Integer,0.0,1.0,-1010.0
C0806,Integer,0.0,1.0,-1010.0
C0807,Integer,0.0,1.0,-1010.0
C0808,Integer,0.0,1.0,-1010.0
C0809,Integer,0.0,1.0,-1010.0
C0810,Integer,0.0,1.0,-1010.0
C0811,Integer,0.0,1.0,-1010.0
C0812,Integer,0.0,1.0,-170.0
C0813,Integer,0.0,1.0,-170.0
C0814,Integer,0.0,1.0,-170.0
C0815,Integer,0.0,1.0,-170.0
C0816,Integer,0.0,1.0,-170.0
C0817,Integer,0.0,1.0,-170.0
C0818,Integer,0.0,1.0,-170.0
C0819,Integer,0.0,1.0,-170.0
C0820,Integer,0.0,1.0,-170.0
C0821,Integer,0.0,1.0,-170.0
C0822,Integer,0.0,1.0,-170.0
C0823,Integer,0.0,1.0,-170.0
C0824,Integer,0.0,1.0,-170.0
C0825,Integer,0.0,1.0,-170.0
C0826,Integer,0.0,1.0,-170.0
C0827,Integer,0.0,1.0,-170.0
C0828,Integer,0.0,1.0,-170.0
C0829,Integer,0.0,1.0,-170.0
C0830,Integer,0.0,1.0,-170.0
C0831,Integer,0.0,1.0,-170.0
C0832,Integer,0.0,1.0,-170.0
C0833,Integer,0.0,1.0,-170.0
C0834,Integer,0.0,1.0,-170.0
C0835,Integer,0.0,1.0,-170.0
C0836,Integer,0.0,1.0,-170.0
C0837,Integer,0.0,1.0,-170.0
C0838,Integer,0.0,1.0,-170.0
C0839,Integer,0.0,1.0,-170.0
C0840,Integer,0.0,1.0,-170.0
C0841,Integer,0.0,1.0,-170.0
C0842,Integer,0.0,1.0,-170.0
C0843,Integer,0.0,1.0,-170.0
C0844,Integer,0.0,1.0,-170.0
C0845,Integer,0.0,1.0,-170.0
C0846,Integer,0.0,1.0,-170.0
C0847,Integer,0.0,1.0,-170.0
C0848,Integer,0.0,1.0,-1122.0
C0849,Integer,0.0,1.0,-1122.0
C0850,Integer,0.0,1.0,-1122.0
C0851,Integer,0.0,1.0,-1122.0
C0852,Integer,0.0,1.0,-1122.0
C0853,Integer,0.0,1.0,-1122.0
C0854,Integer,0.0,1.0,-1122.0
C0855,Integer,0.0,1.0,-1122.0
C0856,Integer,0.0,1.0,-1122.0
C0857,Integer,0.0,1.0,-1122.0
C0858,Integer,0.0,1.0,-1122.0
C0859,Integer,0.0,1.0,-1122.0
C0860,Integer,0.0,1.0,-1122.0
C0861,Integer,0.0,1.0,-1402.0
C0862,Integer,0.0,1.0,-1402.0
C0863,Integer,0.0,1.0,-1402.0
C0864,Integer,0.0,1.0,-1402.0
C0865,Integer,0.0,1.0,-1402.0
C0866,Integer,0.0,1.0,-1402.0
C0867,Integer,0.0,1.0,-1402.0
C0868,Integer,0.0,1.0,-1402.0
C0869,Integer,0.0,1.0,-1402.0
C0870,Integer,0.0,1.0,-1402.0
C0871,Integer,0.0,1.0,-1402.0
C0872,Integer,0.0,1.0,-1402.0
C0873,Integer,0.0,1.0,-1402.0
C0874,Integer,0.0,1.0,-114.0
C0875,Integer,0.0,1.0,-114.0
C0876,Integer,0.0,1.0,-114.0
C0877,Integer,0.0,1.0,-114.0
C0878,Integer,0.0,1.0,-114.0
C0879,Integer,0.0,1.0,-170.0
C0880,Integer,0.0,1.0,-170.0
C0881,Integer,0.0,1.0,-170.0
C0882,Integer,0.0,1.0,-170.0
C0883,Integer,0.0,1.0,-170.0
C0884,Integer,0.0,1.0,-618.0
C0885,Integer,0.0,1.0,-618.0
C0886,Integer,0.0,1.0,-618.0
C0887,Integer,0.0,1.0,-618.0
C0888,Integer,0.0,1.0,-618.0
C0889,Integer,0.0,1.0,-86.0
C0890,Integer,0.0,1.0,-86.0
C0891,Integer,0.0,1.0,-86.0
C0892,Integer,0.0,1.0,-86.0
C0893,Integer,0.0,1.0,-86.0
C0894,Integer,0.0,1.0,-366.0
C0895,Integer,0.0,1.0,-366.0
C0896,Integer,0.0,1.0,-366.0
C0897,Integer,0.0,1.0,-366.0
C0898,Integer,0.0,1.0,-366.0
C0899,Integer,0.0,1.0,-422.0
C0900,Integer,0.0,1.0,-422.0
C0901,Integer,0.0,1.0,-422.0
C0902,Integer,0.0,1.0,-422.0
C0903,Integer,0.0,1.0,-422.0
C0904,Integer,0.0,1.0,-1010.0
C0905,Integer,0.0,1.0,-1010.0
C0906,Integer,0.0,1.0,-1010.0
C0907,Integer,0.0,1.0,-1010.0
C0908,Integer,0.0,1.0,-1010.0
C0909,Integer,0.0,1.0,-1010.0
C0910,Integer,0.0,1.0,-170.0
C0911,Integer,0.0,1.0,-170.0
C0912,Integer,0.0,1.0,-170.0
C0913,Integer,0.0,1.0,-170.0
C0914,Integer,0.0,1.0,-170.0
C0915,Integer,0.0,1.0,-170.0
C0916,Integer,0.0,1.0,-170.0
C0917,Integer,0.0,1.0,-170.0
C0918,Integer,0.0,1.0,-170.0
C0919,Integer,0.0,1.0,-170.0
C0920,Integer,0.0,1.0,-1122.0
C0921,Integer,0.0,1.0,-1122.0
C0922,Integer,0.0,1.0,-1122.0
C0923,Integer,0.0,1.0,-1122.0
C0924,Integer,0.0,1.0,-1122.0
C0925,Integer,0.0,1.0,-1122.0
C0926,Integer,0.0,1.0,-1122.0
C0927,Integer,0.0,1.0,-1402.0
C0928,Integer,0.0,1.0,-1402.0
C0929,Integer,0.0,1.0,-1402.0
C0930,Integer,0.0,1.0,-1402.0
C0931,Integer,0.0,1.0,-1402.0
C0932,Integer,0.0,1.0,-1402.0
C0933,Integer,0.0,1.0,-1402.0
C0934,Integer,0.0,1.0,-114.0
C0935,Integer,0.0,1.0,-114.0
C0936,Integer,0.0,1.0,-114.0
C0937,Integer,0.0,1.0,-114.0
C0938,Integer,0.0,1.0,-114.0
C0939,Integer,0.0,1.0,-114.0
C0940,Integer,0.0,1.0,-114.0
C0941,Integer,0.0,1.0,-114.0
C0942,Integer,0.0,1.0,-114.0
C0943,Integer,0.0,1.0,-114.0
C0944,Integer,0.0,1.0,-114.0
C0945,Integer,0.0,1.0,-114.0
C0946,Integer,0.0,1.0,-170.0
C0947,Integer,0.0,1.0,-170.0
C0948,Integer,0.0,1.0,-170.0
C0949,Integer,0.0,1.0,-170.0
C0950,Integer,0.0,1.0,-170.0
C0951,Integer,0.0,1.0,-170.0
C0952,Integer,0.0,1.0,-170.0
C0953,Integer,0.0,1.0,-170.0
C0954,Integer,0.0,1.0,-170.0
C0955,Integer,0.0,1.0,-170.0
C0956,Integer,0.0,1.0,-170.0
C0957,Integer,0.0,1.0,-170.0
C0958,Integer,0.0,1.0,-86.0
C0959,Integer,0.0,1.0,-86.0
C0960,Integer,0.0,1.0,-86.0
C0961,Integer,0.0,1.0,-86.0
C0962,Integer,0.0,1.0,-86.0
C0963,Integer,0.0,1.0,-86.0
C0964,Integer,0.0,1.0,-86.0
C0965,Integer,0.0,1.0,-86.0
C0966,Integer,0.0,1.0,-86.0
C0967,Integer,0.0,1.0,-86.0
C0968,Integer,0.0,1.0,-86.0
C0969,Integer,0.0,1.0,-86.0
C0970,Integer,0.0,1.0,-618.0
C0971,Integer,0.0,1.0,-618.0
C0972,Integer,0.0,1.0,-618.0
C0973,Integer,0.0,1.0,-618.0
C0974,Integer,0.0,1.0,-618.0
C0975,Integer,0.0,1.0,-618.0
C0976,Integer,0.0,1.0,-618.0
C0977,Integer,0.0,1.0,-618.0
C0978,Integer,0.0,1.0,-618.0
C0979,Integer,0.0,1.0,-618.0
C0980,Integer,0.0,1.0,-618.0
C0981,Integer,0.0,1.0,-618.0
C0982,Integer,0.0,1.0,-366.0
C0983,Integer,0.0,1.0,-366.0
C0984,Integer,0.0,1.0,-366.0
C0985,Integer,0.0,1.0,-366.0
C0986,Integer,0.0,1.0,-366.0
C0987,Integer,0.0,1.0,-366.0
C0988,Integer,0.0,1.0,-366.0
C0989,Integer,0.0,1.0,-366.0
C0990,Integer,0.0,1.0,-366.0
C0991,Integer,0.0,1.0,-366.0
C0992,Integer,0.0,1.0,-366.0
C0993,Integer,0.0,1.0,-366.0
C0994,Integer,0.0,1.0,-422.0
C0995,Integer,0.0,1.0,-422.0
C0996,Integer,0.0,1.0,-422.0
C0997,Integer,0.0,1.0,-422.0
C0998,Integer,0.0,1.0,-422.0
C0999,Integer,0.0,1.0,-422.0
C1000,Integer,0.0,1.0,-422.0
C1001,Integer,0.0,1.0,-422.0
C1002,Integer,0.0,1.0,-422.0
C1003,Integer,0.0,1.0,-422.0
C1004,Integer,0.0,1.0,-422.0
C1005,Integer,0.0,1.0,-422.0
